ClientRef,OperationRef,MontantTND,DateOperation,NatureOperation,SensFlux,CanalUtilise,SecteurCommercant,DeviseTransaction
0aced6d2-4fe1-4787-b653-d3bf70a4c30e,OP-000001,55.64,2026-09-18,TRANSFER,IN,ONLINE,,TND
2101db79-89a1-414b-9b37-351d9797701b,OP-000002,89.99,2026-08-17,CARD_PURCHASE,,POS,E_COMMERCE,TND
4c056708-a89d-4649-aec7-069be9505175,OP-000003,534.65,2026-10-06,DEPOSIT,,ATM,,TND
6c4c71c8-cf5d-436e-ad6e-6c2a47f0637f,OP-000004,0,2026-08-08,PRODUCT_EVENT,,ATM,,TND
fc08d5f4-6b0a-400a-80c7-1e44b59a39a7,OP-000005,18.95,2026-08-23,ONLINE_PAYMENT,,ONLINE,E_COMMERCE,TND
7ac599cc-ebe3-46c5-8f8f-8f2e29e57712,OP-000006,63.06,2026-09-06,BILL_PAYMENT,,POS,,TND
46249a16-3043-4206-a6eb-10182dcb4257,OP-000007,335.15,2026-08-28,TRANSFER,IN,ONLINE,,TND
db0c197a-9abf-446d-a292-f08378fe8df9,OP-000008,399.02,2026-08-12,DEPOSIT,,ATM,,TND
b9765fa3-eb6d-476d-b764-aea7af2b8717,OP-000009,254.24,2026-08-24,TRANSFER,IN,POS,,TND
e6ee527b-2c1b-4a91-a493-714bb2bad56b,OP-000010,0,2026-08-09,PRODUCT_EVENT,,ATM,,TND
caa48f29-3c8e-4100-81b5-bc72037a6324,OP-000011,265.94,2026-09-07,DEPOSIT,,POS,,TND
46249a16-3043-4206-a6eb-10182dcb4257,OP-000012,171.82,2026-09-17,ONLINE_PAYMENT,,ATM,GROCERY,TND
caa48f29-3c8e-4100-81b5-bc72037a6324,OP-000013,134.77,2026-09-20,SAVINGS,,ATM,,TND
16b627b5-bed0-421c-b04c-248716ba2757,OP-000014,311.33,2026-08-05,SAVINGS,,MOBILE_APP,,TND
db0c197a-9abf-446d-a292-f08378fe8df9,OP-000015,0,2026-08-21,PRODUCT_EVENT,,MOBILE_APP,,TND
db0c197a-9abf-446d-a292-f08378fe8df9,OP-000016,30.92,2026-08-19,DEPOSIT,,MOBILE_APP,,EUR
efaa92cf-0e87-4370-ba67-be22f07d585d,OP-000017,212.56,2026-10-11,TRANSFER,OUT,POS,,TND
2101db79-89a1-414b-9b37-351d9797701b,OP-000018,105.24,2026-09-24,BILL_PAYMENT,,ONLINE,,TND
9e1cd179-232c-4848-b615-d36a7f8fea95,OP-000019,206.97,2026-10-11,CARD_PURCHASE,,POS,RETAIL,TND
2320cd15-2f4f-4184-a03f-31cce81b30f2,OP-000020,213.85,2026-10-14,ONLINE_PAYMENT,,ONLINE,E_COMMERCE,TND
16b627b5-bed0-421c-b04c-248716ba2757,OP-000021,317.11,2026-08-02,DEPOSIT,,ONLINE,,TND
9e1cd179-232c-4848-b615-d36a7f8fea95,OP-000022,179.29,2026-09-22,CARD_PURCHASE,,ATM,RESTAURANT,TND
7e9308eb-2669-4dc5-a96d-b8bf509e4f87,OP-000023,288.28,2026-09-08,DEPOSIT,,ONLINE,,TND
